Location,Offense Type,TimeFrame,DataFormat,Data,Fips
New York City,Violent Felonies,2000,Rate,7.64546,3651000
New York City,Violent Felonies,2001,Rate,6.77861,3651000
New York City,Violent Felonies,2002,Rate,6.38177,3651000
New York City,Violent Felonies,2003,Rate,5.9682,3651000
New York City,Violent Felonies,2004,Rate,5.67787,3651000
New York City,Violent Felonies,2005,Rate,5.63956,3651000
New York City,Violent Felonies,2006,Rate,5.25527,3651000
New York City,Violent Felonies,2007,Rate,4.97297,3651000
New York City,Violent Felonies,2008,Rate,4.84319,3651000
New York City,Violent Felonies,2009,Rate,4.41498,3651000
New York City,Violent Felonies,2010,Rate,4.68558,3651000
New York City,Violent Felonies,2011,Rate,4.86773,3651000
New York City,Violent Felonies,2012,Rate,4.96468,3651000
New York City,Violent Felonies,2013,Rate,4.89398,3651000
New York City,Violent Felonies,2014,Rate,4.52604,3651000
New York City,Violent Felonies,2015,Rate,4.56013,3651000
New York City,Violent Felonies,2016,Rate,4.46492,3651000
New York City,Violent Felonies,2017,Rate,,3651000
New York City,Non-Violent Felonies,2000,Rate,25.50935,3651000
New York City,Non-Violent Felonies,2001,Rate,22.93889,3651000
New York City,Non-Violent Felonies,2002,Rate,21.8143,3651000
New York City,Non-Violent Felonies,2003,Rate,20.04064,3651000
New York City,Non-Violent Felonies,2004,Rate,20.39839,3651000
New York City,Non-Violent Felonies,2005,Rate,19.91676,3651000
New York City,Non-Violent Felonies,2006,Rate,18.81337,3651000
New York City,Non-Violent Felonies,2007,Rate,18.22678,3651000
New York City,Non-Violent Felonies,2008,Rate,17.50503,3651000
New York City,Non-Violent Felonies,2009,Rate,15.90108,3651000
New York City,Non-Violent Felonies,2010,Rate,15.41265,3651000
New York City,Non-Violent Felonies,2011,Rate,15.01229,3651000
New York City,Non-Violent Felonies,2012,Rate,15.19307,3651000
New York City,Non-Violent Felonies,2013,Rate,15.20931,3651000
New York City,Non-Violent Felonies,2014,Rate,14.74018,3651000
New York City,Non-Violent Felonies,2015,Rate,14.38318,3651000
New York City,Non-Violent Felonies,2016,Rate,14.28281,3651000
New York City,Non-Violent Felonies,2017,Rate,,3651000
New York City,Misdemeanors,2000,Rate,54.36937,3651000
New York City,Misdemeanors,2001,Rate,50.43569,3651000
New York City,Misdemeanors,2002,Rate,47.32928,3651000
New York City,Misdemeanors,2003,Rate,45.63665,3651000
New York City,Misdemeanors,2004,Rate,44.66928,3651000
New York City,Misdemeanors,2005,Rate,44.44997,3651000
New York City,Misdemeanors,2006,Rate,44.01695,3651000
New York City,Misdemeanors,2007,Rate,45.75681,3651000
New York City,Misdemeanors,2008,Rate,45.48293,3651000
New York City,Misdemeanors,2009,Rate,46.088,3651000
New York City,Misdemeanors,2010,Rate,47.87988,3651000
New York City,Misdemeanors,2011,Rate,46.466,3651000
New York City,Misdemeanors,2012,Rate,44.90555,3651000
New York City,Misdemeanors,2013,Rate,42.75006,3651000
New York City,Misdemeanors,2014,Rate,41.02788,3651000
New York City,Misdemeanors,2015,Rate,37.75821,3651000
New York City,Misdemeanors,2016,Rate,36.88651,3651000
New York City,Misdemeanors,2017,Rate,,3651000
New York City,Violent Felonies,2000,Number,61227,3651000
New York City,Violent Felonies,2001,Number,54285,3651000
New York City,Violent Felonies,2002,Number,51107,3651000
New York City,Violent Felonies,2003,Number,47795,3651000
New York City,Violent Felonies,2004,Number,45470,3651000
New York City,Violent Felonies,2005,Number,44869,3651000
New York City,Violent Felonies,2006,Number,43169,3651000
New York City,Violent Felonies,2007,Number,41149,3651000
New York City,Violent Felonies,2008,Number,40507,3651000
New York City,Violent Felonies,2009,Number,37050,3651000
New York City,Violent Felonies,2010,Number,38351,3651000
New York City,Violent Felonies,2011,Number,40134,3651000
New York City,Violent Felonies,2012,Number,41389,3651000
New York City,Violent Felonies,2013,Number,41138,3651000
